pc_code,cas_code
NA,149877-41-8
128810,131860-33-8
016489,can't find
129082,can't find
016482,can't find
006485,can't find
006479,can't find
030006,can't find
011102,1303-96-4
128008,175013-18-0
006544,can't find
081301,133-06-2
023306,20543-04-8
555550,180409-60-3
288202,121552-61-2
128847,119446-68-3
090209,126833-17-8
071503,131341-86-1
080302,658066-35-4
138009,907204-31-3
123301,39148-24-8
270000,875915-78-9
113502,70630-17-0
076416,13492-26-7
128857,88671-89-0
090112,183675-82-3
230000,146659-78-1
073508,298-14-6
122101,60207-90-1
099100,175013-18-0
288201,53112-28-0
055459,878790-59-1
006327,can't find
077501,7704-34-9
120603,112281-77-3
102001,60207-90-1
079801,137-26-8
129112,141517-21-7
128879,68694-11-1
128712,128639-02-1
129034,103361-09-7
103601,38641-94-0
103613,70901-12-1
103001,15299-99-7
111601,42874-03-3
061601,1910-42-5
108501,40487-42-1
122804,71751-41-2
006329,57960-19-7
099050,135410-20-7
121701,108168-76-9
128924,can't find
000586,149877-41-8
128825,82657-04-3
006523,68038-71-1
006522,68038-71-1
006453,can't find
006519,can't find
006426,can't find
275100,69327-76-0
006534,can't find
011332,120962-03-0
090100,500008-45-7
016329,can't find
090098,736994-63-1
138831,400882-07-7
057801,333-41-5
107091,153233-91-1
104601,13356-08-6
127901,153233-91-1
129131,134098-61-6
128016,158062-67-0
122304,951659-40-8
107300,can't find
128849,78587-05-0
129099,138261-41-3
057701,121-75-5
121027,161050-58-4
034401,300-76-5
025006,108168-76-9
025007,947173-77-5
124002,116714-46-6
063503,8012-95-1
067501,68038-71-1
079021,67701-09-1
069001,108168-76-9
129105,can't find
129032,95737-68-1
110007,935545-74-7
110003,131929-60-7
024875,283594-90-1
060109,153719-23-4
061402,135158-54-2
128955,334-48-5
128919,334-48-5
070704,8000-78-0
081501,57-06-7
029001,76-06-2
128940,131860-33-8
128827,8000-78-0
000595,79-21-0
034903,10045-86-0
039002,137-41-7
063502,8012-95-1
115002,can't find
063201,79-21-0
072606,1312-76-1
006800,can't find
055809,can't find
090110,131341-86-1
121011,99129-21-2
024409,can't find
129051,can't find
128968,57754-85-5
128721,can't find
129108,can't find
056801,63-25-2
044501,120928-09-8
005210,946578-00-3
116801,525-79-1
099801,can't find
046701,525-79-1
129068,can't find
023401,20427-59-2
119202,67892-31-3
128850,can't find
129081,122836-35-5
059101,2921-88-2
031605,8001-22-7
129064,can't find
046010,67891-88-7
036010,67891-88-7
006518,can't find
129000,can't find
053001,108-62-3
039003,137-42-8
176604,67892-31-3
023501,1332-65-6
044301,2439-10-3
128975,can't find
030019,5742-19-8
030035,18584-79-7
109702,can't find
069105,can't find
069165,can't find
069166,can't find
069149,can't find
109801,36734-19-7
122806,can't find
128897,can't find
392201,can't find
004901,57-06-7
029088,624-92-0
025601,1317-39-1
031802,63718-65-0
027602,272451-65-7
053201,74-83-9
081901,1897-45-6
085651,can't find
014504,8018-01-7
079401,115-29-7
070701,404-86-4
006506,can't find
117401,18584-79-7
080807,122-34-9
012701,5902-51-2
139114,15708-41-5
125401,can't find
