"chemical","k","cas"
"10045-86-0","034903",NA
"103361-09-7","129034","III"
"108-62-3","053001","II"
"108-62-3","053001","II"
"108168-76-9","121701",NA
"108168-76-9","025006",NA
"108168-76-9","069001",NA
"112281-77-3","120603","II"
"115-29-7","079401","II"
"116714-46-6","124002","U"
"119446-68-3","128847","II"
"120928-09-8","044501","II"
"120962-03-0","011332",NA
"121-75-5","057701","III"
"121552-61-2","288202",NA
"122-34-9","080807","U"
"122836-35-5","129081",NA
"126833-17-8","090209","U"
"128639-02-1","128712",NA
"1303-96-4","011102","III"
"1312-76-1","072606",NA
"131341-86-1","090110","U"
"131341-86-1","071503","U"
"1317-39-1","025601","II"
"131860-33-8","128810","U"
"131860-33-8","128940","U"
"131929-60-7","110003",NA
"133-06-2","081301","U"
"1332-65-6","023501",NA
"13356-08-6","104601","III"
"134098-61-6","129131","II"
"13492-26-7","076416",NA
"135158-54-2","061402",NA
"135410-20-7","099050","II"
"137-26-8","079801","II"
"137-41-7","039002",NA
"137-42-8","039003","II"
"138261-41-3","129099","II"
"141517-21-7","129112","U"
"146659-78-1","230000",NA
"149877-41-8",NA,"U"
"149877-41-8","000586","U"
"15299-99-7","103001","U"
"153233-91-1","107091","III"
"153233-91-1","127901","III"
"153719-23-4","060109","II"
"15708-41-5","139114",NA
"158062-67-0","128016","II"
"161050-58-4","121027","U"
"175013-18-0","128008",NA
"175013-18-0","099100",NA
"180409-60-3","555550",NA
"183675-82-3","090112","III"
"18584-79-7","117401",NA
"18584-79-7","030035",NA
"1897-45-6","081901","U"
"1910-42-5","061601",NA
"20427-59-2","023401","II"
"20543-04-8","023306",NA
"2439-10-3","044301",NA
"272451-65-7","027602","III"
"283594-90-1","024875",NA
"2921-88-2","059101","II"
"298-14-6","073508",NA
"300-76-5","034401","II"
"333-41-5","057801","II"
"334-48-5","128955",NA
"334-48-5","128919",NA
"36734-19-7","109801","III"
"38641-94-0","103601",NA
"39148-24-8","123301","U"
"400882-07-7","138831","III"
"404-86-4","070701",NA
"40487-42-1","108501","II"
"42874-03-3","111601","U"
"500008-45-7","090100","U"
"525-79-1","046701",NA
"525-79-1","116801",NA
"53112-28-0","288201","III"
"57-06-7","081501",NA
"57-06-7","004901",NA
"5742-19-8","030019",NA
"57754-85-5","128968",NA
"57960-19-7","006329",NA
"5902-51-2","012701","U"
"60207-90-1","122101","II"
"60207-90-1","102001","II"
"624-92-0","029088","II"
"63-25-2","056801","II"
"63-25-2","056801","II"
"63718-65-0","031802",NA
"658066-35-4","080302","III"
"67701-09-1","079021",NA
"67891-88-7","036010",NA
"67891-88-7","046010",NA
"67892-31-3","176604",NA
"67892-31-3","119202",NA
"68038-71-1","006522","III"
"68038-71-1","006523","III"
"68038-71-1","067501","III"
"68694-11-1","128879",NA
"69327-76-0","275100","III"
"70630-17-0","113502",NA
"70901-12-1","103613",NA
"71751-41-2","122804","Ib"
"736994-63-1","090098","U"
"74-83-9","053201","FM"
"74-83-9","053201","FM"
"76-06-2","029001","FM"
"76-06-2","029001","FM"
"7704-34-9","077501","III"
"78587-05-0","128849","U"
"79-21-0","063201",NA
"79-21-0","000595",NA
"8000-78-0","070704",NA
"8000-78-0","128827",NA
"8001-22-7","031605",NA
"8012-95-1","063503",NA
"8012-95-1","063502",NA
"8018-01-7","014504",NA
"82657-04-3","128825","II"
"875915-78-9","270000",NA
"878790-59-1","055459",NA
"88671-89-0","128857","II"
"907204-31-3","138009","III"
"935545-74-7","110007",NA
"946578-00-3","005210","II"
"947173-77-5","025007",NA
"951659-40-8","122304","II"
"95737-68-1","129032","U"
"99129-21-2","121011",NA
"can't find","016489",NA
"can't find","129082",NA
"can't find","016482",NA
"can't find","006485",NA
"can't find","006479",NA
"can't find","030006",NA
"can't find","006544",NA
"can't find","128924",NA
"can't find","006453",NA
"can't find","006519",NA
"can't find","006426",NA
"can't find","006534",NA
"can't find","115002",NA
"can't find","055809",NA
"can't find","006327",NA
"can't find","107300",NA
"can't find","128721",NA
"can't find","129108",NA
"can't find","099801",NA
"can't find","129105",NA
"can't find","125401",NA
"can't find","016329",NA
"can't find","122806",NA
"can't find","128975",NA
"can't find","129064",NA
"can't find","069165",NA
"can't find","069166",NA
"can't find","006800",NA
"can't find","128897",NA
"can't find","392201",NA
"can't find","024409",NA
"can't find","129051",NA
"can't find","109702",NA
"can't find","085651",NA
"can't find","129000",NA
"can't find","006518",NA
"can't find","129068",NA
"can't find","069149",NA
"can't find","128850",NA
"can't find","006506",NA
"can't find","069105",NA
